Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
SDI,51033,51033,-6.667888359268098e+31,0.05,1.5063083011174964e+34,2.2689646980154785e+68,-3.4028234663852885e+36,0.0,0.0,0.07,0.1,2.04,0.07,-225.904847,51033.0,213,0.4174,0,True,True,,,
HWLI,51031,51031,2e-05,0.0,0.004427,2e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.900421,51031.0,1,0.002,0,True,True,,,
FRG,51033,51033,2.26526,2.0,45.527822,2072.782532,-9999.0,1.0,1.0,2.0,2.0,133.0,1.0,-207.586803,45634.793934,376,0.7368,0,True,True,,,
FIRE_SIZE,51033,51033,43.03084,1.0,1645.502225,2707677.570957,0.01,0.02,0.5,4.0,50.0,318156.0,3.5,155.645016,28370.548517,5995,11.7473,0,True,True,,,
TSDF_ET,51031,51031,0.000176,0.0,0.013279,0.000176,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.282431,5665.66651,9,0.0176,0,True,True,,,
pr_5D_min,51033,51033,0.006541,0.0,0.150547,0.022665,0.0,0.0,0.0,0.0,0.0,15.3,0.0,48.212521,3407.757978,254,0.4977,0,True,True,,,
EPL_MINRTY,51018,51018,0.122847,0.4704,19.286217,371.958171,-999.0,0.178,0.3251,0.6376,0.9108,0.9968,0.3125,-51.781079,2679.730741,19,0.0372,0,True,True,,,
EPL_CROWD,51018,51018,0.241209,0.6533,19.288712,372.054409,-999.0,0.1964,0.4578,0.8074,0.9309,0.9997,0.3496,-51.779388,2679.613865,19,0.0372,0,True,True,,,
EPL_MUNIT,51018,51018,-0.124813,0.2472,19.281686,371.78341,-999.0,0.0,0.0,0.37415,0.7195,0.9993,0.37415,-51.779068,2679.591966,19,0.0372,0,True,True,,,
EPL_LIMENG,51018,51018,0.179977,0.576,19.287771,372.018127,-999.0,0.0,0.3854,0.7479,0.9357,0.9998,0.3625,-51.777442,2679.479549,19,0.0372,0,True,True,,,
EPL_SNGPNT,51018,51018,0.07178,0.4154,19.285706,371.938459,-999.0,0.0694,0.2292,0.6408,0.8939,0.9996,0.4116,-51.777253,2679.466623,19,0.0372,0,True,True,,,
EPL_AGE17,51018,51018,0.196368,0.5884,19.288168,372.033421,-999.0,0.121755,0.3677,0.7875,0.9559,0.9993,0.4198,-51.776796,2679.435002,19,0.0372,0,True,True,,,
EPL_AGE65,51018,51018,0.243921,0.67,19.289151,372.071361,-999.0,0.0968,0.4265,0.8508,0.95109,0.9993,0.4243,-51.776269,2679.398545,19,0.0372,0,True,True,,,
EPL_GROUPQ,51018,51018,0.018203,0.3889,19.286723,371.977671,-999.0,0.0,0.0,0.7556,0.9678,0.9976,0.7556,-51.760725,2678.325857,19,0.0372,0,True,True,,,
EPL_NOHSDP,51018,51018,0.266819,0.681,19.7901,391.648061,-999.0,0.2414,0.5427,0.8039,0.9618,0.9999,0.2612,-50.469897,2545.59033,20,0.0392,0,True,True,,,
EPL_UNEMP,51018,51018,0.02256,0.3946,19.786064,391.488328,-999.0,0.0251,0.1731,0.6404,0.8775,0.9996,0.4673,-50.463759,2545.17746,20,0.0392,0,True,True,,,
GHM,51033,51033,-1.6002932062243439e+35,0.4,7.377710345739825e+36,5.443060994563644e+73,-3.402823466385289e+38,0.13,0.3,0.54,0.83,1.0,0.24,-46.081453,2121.583446,24,0.047,0,True,True,,,
EPL_DISABL,51018,51018,0.195587,0.72,21.678334,469.950144,-999.0,0.1991,0.5136,0.8552,0.9513,0.9997,0.3416,-46.066693,2120.468488,24,0.047,0,True,True,,,
EPL_PCI,48325,48325,0.097323,0.5837,21.802875,475.365362,-999.0,0.2245,0.418,0.7218,0.9325,0.9997,0.3038,-45.799935,2095.915516,23,0.0476,0,True,True,,,
RPL_THEME3,51018,51018,0.023274,0.5351,22.56,508.953618,-999.0,0.148,0.3537,0.7058,0.9378,0.9999,0.3521,-44.257286,1956.997332,26,0.051,0,True,True,,,
RPL_THEME2,51018,51018,0.048343,0.6931,24.635488,606.907256,-999.0,0.1976,0.5051,0.844,0.9665,0.9999,0.3389,-40.526546,1640.611468,31,0.0608,0,True,True,,,
EPL_MOBILE,51018,51018,0.199051,0.9013,25.033516,626.676901,-999.0,0.4228,0.8035,0.9411,0.9789,1.0,0.1376,-39.888011,1589.233536,2526,4.9512,0,True,True,,,
EPL_POV,51018,51018,-0.085345,0.5524,25.026421,626.321745,-999.0,0.1563,0.3923,0.7009,0.9058,0.9998,0.3086,-39.887863,1589.225775,32,0.0627,0,True,True,,,
EPL_NOVEH,51018,51018,-0.258696,0.3545,25.022089,626.104949,-999.0,0.0435,0.1931,0.5247,0.7607,0.9715,0.3316,-39.887809,1589.222877,32,0.0627,0,True,True,,,
RPL_THEME1,51018,51018,-0.201882,0.5778,27.626858,763.243303,-999.0,0.1638,0.4267,0.7109,0.903,0.9998,0.2842,-36.124766,1303.127475,39,0.0764,0,True,True,,,
RPL_THEMES,51018,51018,-0.167118,0.6105,27.627902,763.300973,-999.0,0.1979,0.4467,0.7693,0.9404,0.9997,0.3226,-36.124444,1303.111941,39,0.0764,0,True,True,,,
RPL_THEME4,51018,51018,-0.219502,0.5476,27.626599,763.228978,-999.0,0.151365,0.3481,0.742,0.9221,0.9996,0.3939,-36.12387,1303.084335,39,0.0764,0,True,True,,,
